PrimaryKey,YearVisited
CO_WRFO_LUP_2021_WRFO2021-131_V22023-09-01,2023
ID_SAFO_LUP_2023_SAFO2023-012_V22023-09-01,2023
MT_BIFO_LUP_2023_INT-PMWH-tnWd-047_V12023-09-01,2023
AZ_ASDO_LUP_2021_ASDO2021-129_V12023-09-01,2023
20238109200808B3,2023
OR_VADO_ESR_2023_VINESHILL-AS-03_V12023-09-01,2023
OR_MFO_2021_MFO2021-230_V12023-09-01,2023
MT_NCMD_AIMLite_2023_GFO-002_V12023-09-01,2023
NM_LCDO_Allotments_2023_01072_R041XB211AZ_V12023-09-01,2023
ID_BFO_LUP_2022_Other-255_V12023-09-01,2023
20235325200214B2,2023
AZ_TFO_LUP-SUP_2023_MG-SUP-002_V12023-09-01,2023
CO_UFO_LUP_2023_UFO2023-017_V22023-09-01,2023
ID_SHFO_LUP_2023_BSWD-001_V12023-09-01,2023
20235635101119B1,2023
UT_FFO_LUP_2022_FFO2022-045_V12023-09-01,2023
UT_MBFO_LUP_2023_MBFO2023-NR-014_V12023-09-01,2023
CA_ELFO_DryVal_2022_DryValleyRimTreatmentArea2021-20_V22023-09-01,2023
WY_CAFO_LUP_2022_CAFO2022-NR-055_V12023-09-01,2023
UT_MNFO_LUP_2023_MNFO2023-005_V12023-09-01,2023
CO_RGFO_LUP_2022_PJ-247_V12023-09-01,2023
ID_JFO_LUP_2023_BSWM2023-005_V22023-09-01,2023
OR_MFO_2021_MFO2021-265_V12023-09-01,2023
MT_NCMD_LUP_2022_CC-450_V12023-09-01,2023
NM_SFO_VevaRosa_TRT_2023_VevaRosa-Trt2_V12023-09-01,2023
ID_SAFO_LUP_2023_SAFO2023-046_V22023-09-01,2023
WY_CAFO_TARGETED_2023_CAFO2023-T-17_V12023-09-01,2023
AZ_TFO_LUP_2020_LC-138_V12023-09-01,2023
NM_FFO_LUP_2020_SAND-337_V12023-09-01,2023
ID_PFO_LUP_2023_PFO2023-035_V22023-09-01,2023
20235637102514B1,2023
20234923200607B2,2023
UT_PFO_LUP_2023_PFO2023-015_V12023-09-01,2023
CA_RDFO_Graze_2022_IronGate-002_V12023-09-01,2023
WY_LFO_Targeted_2023_LFO2022-T-19_V12023-09-01,2023
CA_BKFO_ESR_2023_PeakBurned-03_V12023-09-01,2023
NM_FFO_FUELS_TRGT_2023_JogCanyon-1_V12023-09-01,2023
OR_LVFO_2021_LFO2021-148_V22023-09-01,2023
WY_LFO_LUP_2022_LFO2022-059_V12023-09-01,2023
20234145394518B2,2023
MT_MCFO_LUP_2023_MCFO2022-107_V12023-09-01,2023
NM_RPFO_LUP_2022_RPFO2022-NR-014_V12023-09-01,2023
AZ_TFO_LCNCA_VEGTRT_2019_VEGTRT-04_V22023-09-01,2023
UT_VFO_LUP_2022_HAB-040_V12023-09-01,2023
UT_WDDO_HAF_2022_WDDOHAF2022-048_V12023-09-01,2023
CO_KFO_LUP_2021_KFO2021-NR-032_V12023-09-01,2023
20234125302924B1,2023
MT_BFO_LUP_2023_BFO2023-08_V12023-09-01,2023
20234137382324B2,2023
2023671202904B2,2023
NM_RFO_LUP_2023_RFO2023-007_V12023-09-01,2023
AZ_KFO_FUEL_2023_Browse-16_V12023-09-01,2023
UT_VFO_HAF_2022_GRSG_HAB-108_V12023-09-01,2023
OR_BOFO_Fuels_2023_MarHol-07_V12023-09-01,2023
CO_RGFO_LUP_2022_RA-039_V12023-09-01,2023
OR_VADO_Fuels_2023_NWM-2020-EB-MP-11_V32023-09-01,2023
MT_NCMD_LUP_2022_BC-667_V12023-09-01,2023
AZ_HFO_WTRSHD2_2023_HFO2023-02_V12023-09-01,2023
CO_GFO_LUP_2020_Alpine-289_V12023-09-01,2023
ID_USFO_LUP_2023_USFO2023-037_V22023-09-01,2023
20233233104709B2,2023
CO_SWDO_ESR_2022_BullDraw_WS-03_V42023-09-01,2023
CA_RDFO_Fuels_2023_Westside-Fuels-Untreated-06_V12023-09-01,2023
